get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
Where does {Kara|name} live?,{cumulative|function} employees live in {GA|state}?,Which employees were {voluntarily terminated|employment_status} here,{earnings|money} {Travis Ozark|name},fetch me the {bottom|extreme} {$|money} for a {area sales manager|position} at this organization,{men|sex} {yearly|time_recur} {earnings|money},How long has {julia|name} been with the company?,{count of|function} {immigrant|citizendesc} {let go|employment_action} {prior to|date_compare} {2010|sys_time},{male|sex} employees {fired|employment_action} in {2017|sys_time},is it correct to say that {Amy|name} is a {boss|manager}?,who all is {working for|manager} {Adell Saada|name}
what {department|department} is {mia|name} in?,{added up|function} {number of|function} employees that {meet 90-day expectations|performance_score} of all employees within the company?,who is doing {IT support|position} at this company?,Is it true that {Donovan Chang|name} has a {six figure|sys_number} {salary|money}?,What is the {sum|function} {income|money} of all the employees?,Who makes the {lowest|extreme} {salary|money}?,How long has {Lisa Galia|name} {been here|employment_action}?,{from abroad|citizendesc} employees was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},Who worked for Cisco for {less than|comparator} {a year|sys_duration},{manager|manager} employee for the employee {catherine ybarra|name},"is there anyone {reporting|manager} to Ms. {Morissa|name}, if so who are those people?"
Is {julia|name} a citizen?,Get me the {typical|function} {age of|age} {database administrator|position} who are promoted to {management|manager},employees based in {CT|state},{Samuel|name} {earnings|money} {every hour|time_recur},What's the {average|function} {pay rate|money}?,{earn|money} {male|sex},{date of birth|dob} of {Elijiah Gray|name},{sum|function} of {eligble non citizen|citizendesc} employees {hired|employment_action} {after|date_compare} {2005|sys_time},{two thousand tens|time_interval} {born|dob} {women|sex},{supervisor|manager} for {Miguel Estremera|name},as of today Ms. {colleen volk|name} is {managing|manager} which employees
tell me what is {nan singh|name}'s citizenship status,{How many|function} employees fall {below expectations|performance_score}?,{voluntarily terminated|employment_status} employees,Is {23k|sys_number} {more than|comparator} what mr. {Knapp|name} {earns|money}s in {a year|sys_duration}?,get me the {mean|function} amp that the {production|department} department {pays|money} out to current workers,"For employees {hired|employment_action} {between|comparator} {3|sys_number} to {8 years|sys_duration} ago, which employee is {paid|money} the {least|extreme}?",What was the {Amy|name}'s {date of hire|employment_action}?,{immigrants|citizendesc} employees that {joined|employment_action} {after|date_compare} {2013|sys_time} {how many|function},employees who were {born|dob} in the month of {May|sys_time},{boss|manager} for {Kenneth Thibaud|name},which employees have a {manager|manager} that goes by the name {John Kretschmer|name}
Does {Allison Lydon|name} {meet 90-day expectations|performance_score}?,{How many|function} employees work in {California|state},{managers|position} list,{Mia|name}'s {compensation|money} {yearly|time_recur},{production technician|position} {typically|function} {earns|money},{sales|department} {$|money},When did {Eric|name} {start|employment_action} working at the company?,{eligible non-citizens|citizendesc} people that {joined|employment_action} {after|date_compare} {2013|sys_time} {how many|function},{married|maritaldesc} employees with a {date of hire|employment_action} {last|date_compare} {2 years|sys_duration},{amy dunn|name}'s {supervisor|manager} name,{James DeGweck|name} is the {lead|manager} for which employees
How did {ivan rogers|name} hear about our company?,What's the {number of|function} of {it director|position}s who are promoted to {managers|manager},employees {widowed|maritaldesc}?,What is {Mia|name}'s {hourly|time_recur} {salary|money},what is the {lowest|extreme} {salary|money} that a {network engineer|position},all the {salaries|money} of {women|sex} in the company,{Seffi Shields|name} {end her employment|employment_action} around what month,{count of|function} {eligible non-citizens|citizendesc} {let go|employment_action} {prior to|date_compare} {2010|sys_time},{17|sys_number} {most|extreme} recently {terminated|employment_action} employees,is {Travis Ozark|name} {management|manager} {Jeanette Tippett|name},which of our employees have {Colleen|name} as their {supervisor|manager}
what is the {performance|performance_score} of {taylor|name},What is the {percentage|function} of new grads in {engineering|department},employee with the {lowest|extreme} {age|age},What does {Barbara gaul|name} {dollars|money} {by the month|time_recur},{percentage|function} of employees {earning|money} {below|comparator} {80k|sys_amount-of-money},how much are {referred employees|employee_source} {earning|money}?,{julia|name} {birthday|dob},{sum|function} of {non-citizens|citizendesc} employees {hired|employment_action} {after|date_compare} {2005|sys_time},Employees with {more than|comparator} {5 yrs|sys_duration} of experience in their field,Do {mia brown|name} and {Nan|name} {report to|manager} the same {manager|manager}?,name of person who {works for|manager} ms {ketsia liebig|name}
What ethnicity is {Catherine|name}'s?,What {percent|function} of employees {exceed expecations|performance_score}?,employees {are exceptional|performance_score},Amnt that {Amy Foster-Baker|name} gets as her {income|money},what is the {lowest|extreme} {pay|money} in the {Sales department|department},Who makes the {most|extreme} {money|money}?,The date was what when {Ivan Rogers|name} {started working|employment_action} for the company,{citizen|citizendesc} employees with {birthday|dob} {before|date_compare} {1996|sys_time} {count|function},get me the employees that are from {MA|state} and have been {hired|employment_action} between {2 years ago|sys_time} to {5 years ago|sys_time},{nan singh singh|name} is the {manager|manager} for which of our employees,who all is {working for|manager} {lynn|name}
i want to know what {taylor|name}'s {race|racedesc} is,Calculate the {total|function} {count|function} of employees who are registered as {male|sex}?,Which employees are {non citizen|citizendesc}?,Is it true that {Taisha Goble|name} has a {six figure|sys_number} {incomes|money}?,what {ratio|function} of people have a {salary|money} {fewer than|comparator} {30|sys_number} dollars {an hour|time_recur}?,{non citizen|citizendesc}s {income|money}s,in what month was {Bartholemew Khemmich|name} {born|dob},{count of|function} {not a citizen|citizendesc} {let go|employment_action} {prior to|date_compare} {2010|sys_time},{MA|state} employees {hired|employment_action} {4 years ago|sys_time},{maryellen|name}'s {reporting to|manager} name,which employees have a {lead|manager} that goes by the name {miguel estremera|name}
what is {Nan Singh|name}s department,What {fraction|function} of our employees are {below|comparator} the {age of|age} {30|sys_number}?,Who was {began her employment|employment_action} based on a {careerbuilder|employee_source}?,Tell me about {lindsay|name}'s {paycheck|money},What is the {total|function} {earnings|money} of employes {hired|employment_action} {after|date_compare} {2016|sys_time}?,Tell me who all have an {income|money} {more than|comparator} {60k|sys_number},{DOB|dob} of {Evelyn Girifalco|name},{count of|function} {non us citizen|citizendesc} {let go|employment_action} {prior to|date_compare} {2010|sys_time},list the employees who {began working for|employment_action} the company {after|date_compare} {2004|sys_time},get me a list of all of the employees who are the {boss|manager} of {Mike Guilianno|name} if there are any,which employees have {Ann|name} as their {reporting|manager} point
what is {ivan|name} {race|racedesc},"What is the {percentage|function} breakdown of employees that joined via {referrals|employee_source}, {social media|employee_source} and {university career fairs|employee_source}?",{ID|state} based employees,Amt that {Lei-Ming Nguyen|name} {earn|money}s,{sr. accountant|position} {summed up|function} {salary|money} for with this position,Which {software engineers|position} are {paid|money} {less than|comparator} {$90k|sys_amount-of-money}?,{Renee Becker|name} - how many {years of experience|employment_action}?,{not a citizen|citizendesc} people that {joined|employment_action} {after|date_compare} {2013|sys_time} {how many|function},Which employees have {been with the company|employment_action} the company recently,What is the name of {Nan|name}'s {manager|manager}?,which are the employees that are {under|comparator} the {supervisor|manager} {sandra martin|name}?
get me the {race|racedesc} of {nan|name},{Total|function} of employees that are {male|sex}?,Which employees are {hispanic|racedesc} here?,Does {Helen Billis|name} {earnings|money} {6 figs|sys_number}?,{network engineer|position} {income|money} on {avg|function}?,Of all employees that {started|employment_action} {2|sys_number} to {6 years|sys_duration} ago who {makes|money} {highest|extreme} {$|money}?,What was the date when {Anthony Cisco|name} was {employed|employment_action},{sum|function} of {non-citizens|citizendesc} people {hired|employment_action} {after|date_compare} {2005|sys_time},Give me the employees that have {been with us|employment_action} for {four years|sys_duration} or less,does {Peter Monroe|name} {manage|manager} {Amy Dunn|name},Please can u give the names of employees who report to {noelle|name}
